timestamp,rssi,remote_rssi,txbuf,noise,remote_noise,attack
614850759,198,198,100,33,40,0
615898770,197,197,93,46,48,0
616815893,195,195,96,28,38,0
617852800,192,197,100,30,39,0
618908331,182,176,97,20,41,0
619809768,173,181,100,28,40,0
620866760,185,189,100,33,43,0
621897779,185,185,98,27,41,0
622815775,182,185,100,24,40,0
623875782,184,185,98,28,38,0
624890767,183,181,97,27,42,0
625808771,189,191,100,27,46,0
626989769,182,184,91,31,47,0
627903786,183,185,100,30,40,0
628831801,183,181,100,29,37,0
629879767,188,193,96,39,42,0
630913053,186,192,97,27,37,0
631836877,177,179,100,36,43,0
632879823,174,181,100,29,38,0
633911810,183,184,100,27,37,0
634872764,177,179,100,26,39,0
635886781,189,196,98,32,43,0
636803865,192,194,100,29,38,0
637845414,182,184,100,29,42,0
638893768,178,179,100,26,40,0
639810767,176,185,100,28,44,0
640839789,167,166,100,27,45,0
641890765,169,173,100,30,40,0
642855072,182,183,100,27,40,0
643836771,179,184,99,23,40,0
644886323,179,181,100,42,43,0
645817767,187,186,100,32,38,0
646849760,184,188,100,26,38,0
647896809,182,187,100,27,49,0
648816907,187,193,97,29,38,0
649849887,183,182,100,28,37,0
650894766,189,198,98,30,37,0
651816766,192,192,96,31,37,0
652842801,195,197,100,29,38,0
653913090,194,198,93,26,42,0
654818762,189,193,100,35,40,0
655857960,185,182,100,29,39,0
656902760,173,170,96,30,38,0
657827805,178,177,99,29,41,0
658867761,180,180,100,28,37,0
659907255,184,188,100,34,39,0
660826796,173,174,98,26,44,0
661909804,174,173,96,27,44,0
662915878,182,189,100,25,44,0
663831763,177,182,100,29,37,0
664883763,181,180,100,23,41,0
665927783,183,185,100,31,39,0
666841575,189,185,100,30,46,0
667874658,191,194,100,47,40,0
668812793,191,194,100,26,40,0
669839835,179,188,100,26,40,0
670871796,192,192,97,28,38,0
671809799,194,199,98,24,37,0
672849789,196,200,100,26,41,0
673875221,190,189,100,33,40,0
674804766,183,186,97,29,41,0
675851765,181,181,97,29,42,0
676884765,187,194,100,30,38,0
677828192,185,185,96,34,45,0
678857340,187,186,100,30,44,0
679805771,193,197,100,35,39,0
680817830,195,196,100,28,45,0
681855358,194,195,100,38,38,0
682901205,196,197,100,35,43,0
683816912,184,186,97,30,45,0
684856871,192,201,99,31,39,0
685901801,192,197,100,26,44,0
686821770,195,197,100,26,37,0
687866768,188,182,96,32,42,0
688919058,192,200,93,26,38,0
689818766,180,181,100,27,41,0
690866880,175,179,99,30,38,0
691912766,181,184,100,26,39,0
692817761,177,179,96,28,40,0
693876769,179,186,99,30,40,0
694907801,186,190,100,26,40,0
695829871,188,190,100,27,42,0
696921770,185,191,100,30,40,0
697811798,181,188,97,33,42,0
698835761,192,196,97,29,36,0
699886768,190,187,100,25,44,0
700809826,181,185,96,33,46,0
701847770,170,188,97,28,45,0
702885399,184,188,97,33,38,0
703918821,184,185,100,28,39,0
704843761,182,182,100,25,50,0
705891232,188,187,100,32,38,0
706826666,185,187,97,30,41,0
707848762,183,183,100,31,46,0
708887764,187,188,100,30,39,0
709815802,174,179,100,32,36,0
710851008,174,178,97,26,41,0
711895865,172,170,96,27,44,0
712826839,181,186,100,26,40,0
713856767,183,186,100,27,46,0
714892760,182,189,98,26,36,0
715823870,175,175,97,30,39,0
716853761,173,175,100,30,45,0
717900624,181,185,98,29,39,0
718830837,182,188,96,28,45,0
719869765,178,178,97,49,41,0
720910766,174,183,99,32,37,0
721836768,158,168,100,28,48,0
722878770,175,182,100,25,45,0
723947662,178,184,100,22,49,0
724834276,181,183,95,29,48,0
725869766,178,178,97,30,36,0
726921894,180,185,100,30,38,0
727841764,172,184,100,25,40,0
728879764,175,181,97,20,44,0
729919762,174,189,96,26,43,0
730838973,174,184,100,26,41,0
731880779,183,189,96,27,40,0
732808778,185,186,100,32,37,0
733845394,181,182,94,37,41,0
734882908,182,181,100,31,42,0
735817860,181,186,100,35,46,0
736846762,185,188,97,29,44,0
737878791,187,193,97,26,39,0
738829767,179,177,97,26,43,0
739850814,191,193,100,33,39,0
740889806,187,188,100,26,38,0
741825767,190,185,100,31,48,0
742856774,185,196,97,31,37,0
743887906,186,184,100,29,37,0
744813829,185,184,100,23,39,0
745867784,185,185,100,27,43,0
746891890,181,183,97,31,35,0
747952807,185,187,96,27,46,0
748867835,184,187,100,37,35,0
749898841,186,185,100,32,39,0
750813916,188,188,96,29,39,0
751872764,184,186,96,27,40,0
752903769,192,189,97,27,39,0
753827424,196,198,96,28,42,0
754871799,187,185,96,29,37,0
755915180,179,181,97,27,40,0
756834643,183,183,100,32,38,0
757886836,180,177,100,29,39,0
758830765,186,191,100,29,47,0
759839859,194,193,100,28,45,0
760883823,191,194,94,30,40,0
761808796,177,180,98,31,41,0
762840807,181,183,100,28,39,0
763880832,172,182,100,32,38,0
764818787,184,185,97,32,44,0
765841781,184,186,97,28,39,0
766900760,174,180,100,29,38,0
767819771,179,177,100,29,38,0
768848722,179,181,97,27,43,0
769893766,175,182,96,33,40,0
770826766,177,188,100,27,41,0
771855772,178,185,100,50,45,0
772895771,177,181,96,30,40,0
773815492,182,186,97,29,42,0
774842766,186,190,100,29,40,0
775900874,189,192,100,29,47,0
776834673,186,184,100,28,40,0
777846900,186,190,96,30,40,0
778909831,186,187,97,34,48,0
779824765,180,185,100,31,38,0
780865795,177,177,99,29,46,0
781908764,182,189,100,34,46,0
782955303,186,189,97,32,39,0
783867585,185,194,100,25,36,0
784907234,183,190,100,31,40,0
785960199,187,201,94,27,42,0
786872764,186,189,100,28,34,0
787806828,188,191,97,36,45,0
788852983,181,181,96,33,38,0
789882759,192,196,100,28,39,0
790913629,195,197,96,26,39,0
791847768,196,201,95,35,40,0
792889774,196,201,96,26,42,0
793831765,192,199,97,28,42,0
794856799,194,197,100,31,38,0
795887766,186,194,100,28,36,0
796815761,182,180,96,23,46,0
797857202,182,185,100,32,43,0
798878783,183,184,100,28,40,0
799811804,181,185,100,32,42,0
800860767,189,199,97,46,37,0
801818765,189,194,98,34,40,0
802817770,178,180,100,29,42,0
803861821,181,184,100,34,46,0
804886901,186,185,96,28,36,0
805827800,189,190,97,23,46,0
806860762,184,189,100,31,39,0
807902767,182,187,98,27,39,0
808818766,180,184,100,30,42,0
809850955,187,189,95,30,41,0
810900046,190,190,100,32,41,0
811832762,187,191,100,29,44,0
812879204,181,183,93,33,39,0
813905843,181,185,100,27,39,0
814820767,180,180,98,28,37,0
815875888,180,184,100,31,42,0
816908333,188,190,100,28,42,0
817831767,194,193,98,28,40,0
818864764,190,196,97,32,46,0
819908761,184,194,97,26,39,0
820960769,175,179,96,31,44,0
821887551,184,180,100,32,36,0
822811801,182,183,100,31,47,0
823850888,187,187,95,48,37,0
824890768,187,196,100,30,40,0
825813800,187,186,100,31,41,0
826841771,191,193,100,28,41,0
827897762,187,191,95,28,39,0
828846769,190,191,100,30,41,0
829849761,187,189,100,27,36,0
830895781,187,191,100,33,41,0
831820771,185,185,98,29,38,0
832850760,195,200,98,28,47,0
833886890,189,193,100,33,48,0
834819771,191,196,100,30,44,0
835853760,196,203,100,31,41,0
836904828,193,197,91,32,39,0
837827838,189,196,99,30,42,0
838864766,196,200,100,27,38,0
839913801,191,194,93,27,48,0
840837765,191,193,97,31,37,0
841866798,184,187,95,28,45,0
842919101,181,186,99,29,45,0
843827765,166,185,100,29,39,0
844866779,165,168,100,27,40,0
845917765,180,185,97,29,43,0
846833770,187,189,100,30,40,0
847889021,178,182,96,25,35,0
848915117,184,184,100,30,35,0
849840764,184,184,100,28,39,0
850870769,187,182,98,28,40,0
851919761,183,184,100,27,42,0
852849830,188,190,98,42,41,0
853876764,190,187,100,32,37,0
854922877,187,186,97,27,42,0
855884770,184,185,97,34,41,0
856883765,185,190,100,27,35,0
857814801,185,189,100,30,47,0
858856767,187,193,96,28,38,0
859893765,185,190,97,35,37,0
