timestamp,rssi,remote_rssi,txbuf,noise,remote_noise,attack
332826769,176,171,97,38,29,1
333858763,171,178,97,30,33,1
334902756,175,176,97,30,38,1
335827765,182,182,100,32,38,1
336862004,185,183,96,26,35,1
337806796,188,177,100,32,39,1
338833756,185,183,96,30,40,1
339863470,188,191,96,29,35,1
340897768,189,189,100,35,34,1
341824899,178,177,100,32,34,1
342864760,184,189,99,32,43,1
343804757,189,189,100,26,36,1
344844762,187,186,96,31,37,1
345869763,188,186,100,28,34,1
346808757,183,175,100,38,34,1
347845764,170,178,99,32,37,1
348866762,172,176,98,31,44,1
349802766,178,183,100,28,32,1
350841796,179,184,100,29,35,1
351881638,178,171,94,30,33,1
352814760,184,182,100,30,39,1
353847789,182,183,100,32,36,1
354883763,181,182,100,30,39,1
355803862,174,173,97,44,46,1
356861763,185,187,97,33,34,1
357882765,182,189,96,31,33,1
358813767,186,189,99,31,37,1
359862766,192,197,100,30,35,1
360815860,190,193,100,35,41,1
361818764,190,196,100,32,43,1
362863810,187,191,99,28,33,1
363895763,186,181,99,43,36,1
364819758,190,192,96,27,40,1
365857642,172,175,100,38,33,1
366911110,183,186,100,28,37,1
367820759,184,191,100,32,36,1
368855768,182,188,100,33,33,1
369897760,189,188,98,32,41,1
370826772,190,187,97,38,31,1
371879758,188,184,93,33,38,1
372909939,189,193,100,31,32,1
373829773,184,182,94,23,31,1
374885760,177,181,94,30,31,1
375900762,181,178,94,31,36,1
376833794,181,179,100,33,34,1
377883547,169,176,98,31,38,1
378824767,177,178,96,34,34,1
379840757,187,189,97,33,39,1
380886843,190,187,100,32,40,1
381804766,183,184,98,30,34,1
382838765,192,186,97,31,35,1
383892765,176,187,97,32,34,1
384916762,185,183,100,30,41,1
385841332,183,191,98,32,34,1
386891191,190,185,100,35,35,1
387822983,187,194,94,34,38,1
388846761,194,196,100,27,34,1
389897764,189,197,98,35,44,1
390817804,186,179,100,40,35,1
391863798,180,179,97,31,34,1
392900197,178,181,96,44,36,1
393829773,186,186,94,30,35,1
394853768,190,188,100,34,39,1
395809141,183,180,100,33,39,1
396824709,178,177,97,33,35,1
397860759,185,187,97,27,32,1
398912766,190,192,93,30,37,1
399835760,183,185,100,31,37,1
400854757,174,172,94,23,42,1
401918767,187,188,97,33,36,1
402831761,189,190,100,32,32,1
403857768,193,192,100,29,33,1
404800937,197,198,100,31,34,1
405835781,202,199,97,32,35,1
406878815,188,195,100,29,44,1
407806856,179,178,100,45,34,1
408843849,185,196,100,30,35,1
409868758,191,192,97,32,30,1
410799873,192,194,100,22,39,1
411834764,190,192,100,28,31,1
412874756,195,192,96,30,38,1
413812763,185,182,96,29,33,1
414852862,173,174,93,30,34,1
415879766,186,187,100,44,42,1
416806762,184,183,100,30,36,1
417839975,178,175,100,37,44,1
418880761,178,180,97,32,39,1
419803760,176,181,97,30,35,1
420855763,179,181,97,34,32,1
421889763,182,182,100,29,35,1
422827057,177,179,96,28,40,1
423856767,167,177,97,34,40,1
424889758,174,177,97,31,32,1
425824116,181,188,97,28,36,1
426871760,178,186,100,30,34,1
427895760,187,188,94,29,41,1
428835808,185,179,96,32,36,1
429861759,183,192,100,30,38,1
430810796,194,189,100,33,33,1
431825766,193,195,97,33,35,1
432868767,194,194,97,30,33,1
433917760,193,194,97,31,39,1
434828761,189,191,100,28,39,1
435868764,179,182,100,33,36,1
436909765,176,180,97,29,38,1
437829756,179,179,100,32,33,1
438864766,177,180,100,33,34,1
439907761,170,173,98,28,36,1
440837763,176,175,94,31,39,1
441888769,188,198,93,33,37,1
442816771,186,182,100,36,37,1
443845795,185,188,100,31,36,1
444891757,194,197,99,36,33,1
445815757,188,185,100,29,34,1
446834327,192,187,97,32,32,1
447896759,181,185,94,31,30,1
448820757,174,171,100,33,34,1
449856850,169,175,96,30,31,1
450890763,184,185,97,33,32,1
451817927,191,190,98,29,41,1
452841759,193,195,99,31,42,1
453898764,194,195,100,28,37,1
454813763,195,198,99,31,33,1
455854765,190,190,97,30,44,1
456894761,192,193,100,31,42,1
457823844,193,195,100,32,40,1
458861906,181,178,100,25,41,1
459902756,175,170,97,38,39,1
460816062,183,193,96,33,35,1
461873757,186,188,100,31,36,1
462911136,192,195,100,27,44,1
463953761,179,179,97,22,44,1
464863794,188,190,100,33,33,1
465898765,184,188,100,30,35,1
466825807,190,189,100,30,34,1
467865572,188,185,98,34,36,1
468922797,186,180,93,28,35,1
469834923,189,187,100,35,40,1
470870813,185,188,100,31,41,1
471822824,189,188,100,29,33,1
472828759,189,187,100,37,34,1
473867888,193,194,97,31,35,1
474923334,198,194,97,34,39,1
475847827,188,195,100,34,45,1
476888764,179,172,95,30,39,1
477802534,192,194,99,28,35,1
478845824,192,196,100,29,30,1
479895776,197,198,96,29,36,1
480935760,180,182,97,30,33,1
481849785,181,179,97,24,43,1
482902764,187,185,94,44,33,1
483819759,187,189,100,31,35,1
484862764,175,181,95,25,32,1
485882761,186,189,100,28,35,1
486814874,189,181,98,34,32,1
487857798,184,192,97,36,35,1
488895802,181,177,100,31,34,1
489810764,180,177,97,31,35,1
490866759,191,192,92,36,39,1
491899766,197,196,100,30,37,1
492825816,192,194,100,30,32,1
493859765,185,190,100,31,38,1
494910761,189,189,96,28,41,1
495828756,176,182,100,30,35,1
496881794,176,170,100,31,33,1
497913868,177,179,100,30,35,1
498842378,175,167,94,24,38,1
499859759,177,173,100,30,42,1
500808876,179,177,100,30,39,1
501828929,189,186,100,31,32,1
502881757,192,196,100,31,33,1
503811819,185,187,100,33,35,1
504829764,190,192,100,29,33,1
505879761,188,187,100,29,31,1
