timestamp,rssi,remote_rssi,txbuf,noise,remote_noise,attack
257824762,175,173,98,31,41,1
258878771,176,172,93,41,38,1
259799769,176,174,98,32,35,1
260828862,173,177,95,34,41,1
261883824,175,188,94,34,34,1
262810716,176,185,96,32,38,1
263837770,176,179,97,28,37,1
264889798,173,178,93,39,41,1
265812625,167,175,99,33,42,1
266840837,170,179,100,32,45,1
267882853,181,192,100,32,45,1
268813773,179,183,95,34,36,1
269845762,181,186,98,35,38,1
270892509,185,195,100,34,38,1
271831905,185,187,100,35,41,1
272858774,179,179,93,34,48,1
273889822,176,180,95,41,41,1
274810772,179,179,96,28,35,1
275848829,181,184,100,30,39,1
276796763,187,193,100,31,46,1
277802801,185,181,97,32,39,1
278861865,193,198,97,30,48,1
279908770,185,181,100,33,38,1
280815768,188,183,95,31,40,1
281857912,179,177,96,34,46,1
282907830,175,179,89,33,37,1
283826765,183,189,98,37,41,1
284869791,182,188,98,19,41,1
285791942,171,174,100,31,43,1
286828766,172,169,93,36,37,1
287864277,178,173,99,36,46,1
288917913,191,196,96,35,34,1
289844934,181,194,100,30,44,1
290881803,173,173,93,32,44,1
291800863,181,184,96,29,40,1
292837335,182,187,95,30,36,1
293863771,183,198,100,30,44,1
294798762,188,190,100,37,35,1
295841818,183,187,96,32,36,1
296887122,182,189,90,42,34,1
297807769,181,188,100,34,37,1
298857472,184,185,99,35,41,1
299809773,188,195,100,34,46,1
300813769,188,194,96,33,40,1
301841762,190,192,100,40,40,1
302893912,187,194,100,33,33,1
303805800,185,189,93,35,37,1
304856771,186,182,91,34,39,1
305795393,182,185,97,34,45,1
306821831,180,183,95,31,43,1
307857785,173,167,100,37,41,1
308907773,173,183,96,33,39,1
309807765,172,178,100,31,36,1
310871838,176,180,97,33,40,1
311796768,177,189,98,33,43,1
312818799,185,185,93,35,43,1
313858851,178,191,98,34,46,1
314794815,177,184,99,34,46,1
315814771,179,177,100,32,35,1
316873770,184,189,96,32,36,1
317799769,181,183,100,32,34,1
318825771,170,172,93,33,36,1
319870804,176,184,100,35,35,1
320793763,179,183,100,35,37,1
321834801,186,192,100,32,41,1
322886770,183,189,93,30,30,1
323913766,179,182,97,33,39,1
324847872,175,178,95,34,41,1
325886877,177,181,100,35,41,1
326812794,167,170,95,33,41,1
327833880,172,179,97,32,45,1
328886767,171,176,99,29,43,1
329803907,171,173,100,31,43,1
330850790,166,170,93,34,44,1
331889764,175,173,97,33,38,1
332815774,180,182,96,39,40,1
333846844,178,188,96,35,47,1
334800801,178,183,100,32,41,1
335802771,172,176,97,32,43,1
336851941,174,180,97,32,41,1
337890778,174,178,97,36,35,1
338828773,168,172,95,37,37,1
339850763,185,182,100,35,42,1
340903806,191,194,98,32,38,1
341814894,181,192,100,32,41,1
342859768,179,187,100,29,38,1
343912417,181,180,100,35,34,1
344815766,183,188,96,26,39,1
345859769,180,181,95,31,39,1
346794843,180,178,100,39,41,1
347827808,174,173,100,32,41,1
348867806,179,181,98,40,42,1
349800801,185,192,100,34,36,1
350839767,174,172,91,31,45,1
351875849,175,184,100,32,43,1
352796238,171,173,100,23,42,1
353842808,183,190,94,34,40,1
354878772,187,188,97,30,36,1
355796764,180,188,100,35,40,1
356849155,179,185,100,29,45,1
357880786,187,190,96,32,43,1
358793970,194,195,97,38,32,1
359855766,194,198,97,37,47,1
360894773,190,189,97,33,36,1
361820796,182,188,96,35,40,1
362853768,174,172,100,33,46,1
363876026,176,175,99,31,38,1
364803771,181,184,100,33,42,1
365857770,186,189,100,33,40,1
366902772,182,186,100,31,35,1
367810770,190,194,97,32,35,1
368862767,193,197,93,40,37,1
369892777,194,196,96,34,45,1
370811875,188,189,97,34,43,1
371856321,185,187,96,36,37,1
372905800,185,194,94,29,39,1
373826765,188,189,100,31,41,1
374872860,191,193,100,32,48,1
375895179,181,185,100,34,37,1
376819773,187,188,94,29,49,1
377874767,181,185,96,41,39,1
378918938,175,185,96,33,36,1
379825768,169,181,100,31,41,1
380884560,182,185,90,32,41,1
381808771,185,187,97,33,37,1
382828039,184,187,95,37,44,1
383868784,179,180,100,31,38,1
384800774,177,178,97,36,38,1
385835879,169,180,95,39,46,1
386880821,170,177,93,30,43,1
387803136,179,186,98,33,43,1
388842675,176,182,90,30,41,1
389876767,183,176,100,31,39,1
390804770,178,180,97,33,37,1
391840769,180,174,100,28,38,1
392894761,168,171,96,32,37,1
393812813,172,169,96,29,47,1
394842769,172,171,97,26,34,1
